,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
50,observation,actuation,information,gathered,iot,entities,world,intention,act,upon,it,,,,,,,,,,,,,,,,,,,,,,
51,units,measurements,systems,units,values,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,user,human,software,uses,client,iot,entities,,,,,,,,,,,,,,,,,,,,,,,,,,
53,geolocation,position,world,defined,coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,service,web,services,offered,software,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,provenance,origin,ownership,history,iot,entities,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,information,please,refer,inter,iot,deliverables,specifically,goiotp,documentation,available,online,en,,,,,,,,,,,,,,,,,,,,,
58,owl,versioninfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,vs,term,status,stable,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,dc,title,generic,ontology,iot,platforms,en,,,,,,,,,,,,,,,,,,,,,,,,,,
63,annotation,properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,http,purl,org,dc,elements,contributor,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,dc,contributor,rdf,type,owl,annotationproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,http,purl,org,dc,elements,creator,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,dc,creator,rdf,type,owl,annotationproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,http,purl,org,dc,elements,date,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,dc,date,rdf,type,owl,annotationproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,http,purl,org,dc,elements,description,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,dc,description,rdf,type,owl,annotationproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,http,www,org,skos,core,preflabel,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,http,www,org,skos,core,preflabel,rdf,type,owl,annotationproperty,,,,,,,,,,,,,,,,,,,,,,,
87,datatypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,http,www,opengis,net,ont,geosparql,wktliteral,,,,,,,,,,,,,,,,,,,,,,,,,,
91,geosparql,wktliteral,rdf,type,rdfs,datatype,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,dc,contributor,matthew,perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,dc,creator,ogc,geosparql,standard,working,group,,,,,,,,,,,,,,,,,,,,,,,,,,
94,dc,date,xsd,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,dc,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,well,known,text,serialization,geometry,object,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,rdfs,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,rdfs,isdefinedby,http,www,opengis,net,ont,geosparql,,,,,,,,,,,,,,,,,,,,,,,,,
102,http,www,opengis,net,spec,geosparql,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,rdfs,label,well,known,text,literal,en,,,,,,,,,,,,,,,,,,,,,,,,,,
104,http,www,org,skos,core,definition,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,http,www,org,skos,core,preflabel,well,known,text,literal,en,,,,,,,,,,,,,,,,,,,,,,
110,http,www,org,xmlschema,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,xsd,date,rdf,type,rdfs,datatype,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,object,properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,http,inter,iot,eu,goiotp,hascomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,iiot,hascomponent,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,rdfs,range,iiot,platformcomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,http,inter,iot,eu,goiotp,hascoverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,iiot,hascoverage,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,rdfs,range,iiot,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,rdfs,comment,denotes,physical,location,entity,iotdevice,softwareplatform,sensor,operates,functionality,capability,entity,restricted,locations,included,coverage,en,,,,,,,,,,,,,,,
129,http,inter,iot,eu,goiotp,hasdataformat,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,iiot,hasdataformat,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,rdfs,range,iiot,dataformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,http,inter,iot,eu,goiotp,hasdomainofinterest,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,iiot,hasdomainofinterest,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,rdfs,range,iiot,domainofinterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,http,inter,iot,eu,goiotp,haslocation,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,iiot,haslocation,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,rdfs,comment,denotes,last,known,physical,location,entity,en,,,,,,,,,,,,,,,,,,,,,,,,
145,http,inter,iot,eu,goiotp,hasmeasurementkind,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,iiot,hasmeasurementkind,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,rdfs,range,iiot,measurementkind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,http,inter,iot,eu,goiotp,hasowner,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,iiot,hasowner,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,owl,inverseof,iiot,isownerof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,rdfs,comment,denotes,ownership,relation,entities,en,,,,,,,,,,,,,,,,,,,,,,,,,,
156,http,inter,iot,eu,goiotp,hassemantics,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,iiot,hassemantics,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,rdfs,range,iiot,semantics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,http,inter,iot,eu,goiotp,hasserviceinput,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,iiot,hasserviceinput,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,rdfs,domain,iiot,serviceinterface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,rdfs,range,iiot,serviceinput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,http,inter,iot,eu,goiotp,hasserviceinterface,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,iiot,hasserviceinterface,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,rdfs,domain,iiot,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,rdfs,range,iiot,serviceinterface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,http,inter,iot,eu,goiotp,hasserviceoutput,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,iiot,hasserviceoutput,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,rdfs,range,iiot,serviceoutput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,http,inter,iot,eu,goiotp,hasunit,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,iiot,hasunit,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,rdfs,range,sweet,units,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,http,inter,iot,eu,goiotp,hasuser,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,iiot,hasuser,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,owl,inverseof,iiot,isuserof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,rdfs,range,iiot,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,rdfs,comment,denotes,subject,entity,used,another,entity,en,,,,,,,,,,,,,,,,,,,,,,,,
191,http,inter,iot,eu,goiotp,isownerof,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,iiot,isownerof,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,rdfs,subpropertyof,owl,topobjectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,http,inter,iot,eu,goiotp,isuserof,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,iiot,isuserof,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,rdfs,domain,iiot,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,rdfs,comment,denotes,subject,entity,uses,another,entity,en,,,,,,,,,,,,,,,,,,,,,,,,
202,http,www,org,skos,core,example,user,uses,device,means,observations,coming,device,relevant,user,en,,,,,,,,,,,,,,,,,
205,http,inter,iot,eu,goiotp,offersservice,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,iiot,offersservice,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,rdfs,domain,sosa,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,rdfs,range,iiot,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,http,inter,iot,eu,goiotp,orderedbyuser,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,iiot,orderedbyuser,rdf,type,owl,objectproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,rdfs,comment,activity,observation,actuation,ordered,user,case,device,performing,activity,responsible,carrying,user,responsible,making,decision,ordering,activity,involve,making,decision,actually,using,device,perform,actuation,observation,handling,device,physically,controlling,remotely
216,anonymous,device,user,orderd,activity,responsible,making,decision,perform,en,,,,,,,,,,,,,,,,,,,,,,,
217,http,www,org,skos,core,example,port,operator,moves,port,crane,orders,actuation,made,crane,device,,,,,,,,,,,,,,,,,
219,doctor,uses,smart,thermometer,measure,patients,temperature,orders,temperature,observation,carried,thermometer,,,,,,,,,,,,,,,,,,,,,
221,truck,driver,sets,preferred,fuel,usage,smart,car,orders,make,actuation,making,smart,truck,controller,device,change,state,smart,truck,recalculate,route,data,estimated,time,arrival,en,,,,,,
225,data,properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,http,inter,iot,eu,goiotp,hasbaseendpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,iiot,hasbaseendpoint,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,rdfs,comment,primary,default,base,endpoint,entity,accessible,rest,url,en,,,,,,,,,,,,,,,,,,,,,,
233,http,inter,iot,eu,goiotp,hasdescription,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,iiot,hasdescription,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,rdfs,comment,human,readable,description,iot,entity,en,,,,,,,,,,,,,,,,,,,,,,,,,
238,http,inter,iot,eu,goiotp,hasname,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,iiot,hasname,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,rdfs,comment,generic,property,describing,name,entity,context,iot,en,,,,,,,,,,,,,,,,,,,,,,,
243,http,inter,iot,eu,goiotp,hasresultvalue,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,iiot,hasresultvalue,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,rdfs,domain,sosa,result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,http,inter,iot,eu,goiotp,hasservicedefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,iiot,hasservicedefinition,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,rdfs,range,xsd,anyuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,rdfs,comment,specifies,address,technical,formal,definition,service,accessible,en,,,,,,,,,,,,,,,,,,,,,,,
253,http,www,org,skos,core,example,webservices,wsdl,file,wadl,file,openapi,specification,file,en,,,,,,,,,,,,,,,,,,
256,http,inter,iot,eu,goiotp,hasuri,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,iiot,hasuri,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,http,inter,iot,eu,goiotp,hasversion,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,iiot,hasversion,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,http,www,opengis,net,ont,geosparql,aswkt,,,,,,,,,,,,,,,,,,,,,,,,,,
266,geosparql,aswkt,rdf,type,owl,datatypeproperty,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,rdfs,domain,geosparql,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,rdfs,range,geosparql,wktliteral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,wkt,serialization,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,rdfs,label,aswkt,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,http,www,org,skos,core,preflabel,aswkt,en,,,,,,,,,,,,,,,,,,,,,,,,,
288,classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,http,inter,iot,eu,goiotp,dataformat,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,iiot,dataformat,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,http,inter,iot,eu,goiotp,domainofinterest,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,iiot,domainofinterest,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,rdfs,comment,domain,iot,artifact,operates,en,,,,,,,,,,,,,,,,,,,,,,,,,,
298,http,www,org,skos,core,example,healthcare,aal,ambient,assisted,living,transportation,smart,city,en,,,,,,,,,,,,,,,,,,
301,http,inter,iot,eu,goiotp,iotdevice,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,iiot,iotdevice,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,rdfs,subclassof,sosa,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,rdfs,comment,physical,virtual,entity,basic,unit,iot,system,iot,device,platform,serve,host,multiple,sensors,actuators,samplers,en,,,,,,,,,,,,,,
307,http,inter,iot,eu,goiotp,location,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,iiot,location,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,rdfs,subclassof,geosparql,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,owl,onproperty,geosparql,aswkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,owl,allvaluesfrom,geosparql,wktliteral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,rdfs,comment,physical,entity,thought,location,contains,entities,geoposition,location,optionally,given,well,known,text,geosparql,aswkt,property,en,,,,,,,,,,,,,,
315,http,www,org,skos,core,example,room,floor,building,specific,point,city,city,whole,en,,,,,,,,,,,,,,,,,,
318,http,inter,iot,eu,goiotp,measurementkind,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,iiot,measurementkind,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,rdfs,subclassof,ssn,property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,rdfs,comment,kind,class,measurement,en,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,http,www,org,skos,core,example,length,mass,time,en,,,,,,,,,,,,,,,,,,,,,,,
325,http,inter,iot,eu,goiotp,middleware,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,iiot,middleware,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,rdfs,subclassof,iiot,platformcomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,owl,onproperty,iiot,hasbaseendpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,owl,somevaluesfrom,rdfs,literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,http,inter,iot,eu,goiotp,ontology,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,iiot,ontology,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,rdfs,subclassof,iiot,semantics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,owl,onproperty,iiot,hasuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,owl,somevaluesfrom,xsd,anyuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,owl,onproperty,iiot,hasversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,rdfs,comment,specific,description,concepts,entities,properties,relations,expressed,formalized,way,en,,,,,,,,,,,,,,,,,,,,,
346,http,www,org,skos,core,example,goiotp,ontology,en,,,,,,,,,,,,,,,,,,,,,,,,
349,http,inter,iot,eu,goiotp,platformcomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,iiot,platformcomponent,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,rdfs,subclassof,ssn,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,http,inter,iot,eu,goiotp,semantics,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,iiot,semantics,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,http,www,org,skos,core,example,description,meaning,data,terms,data,structure,en,,,,,,,,,,,,,,,,,,,,
359,http,inter,iot,eu,goiotp,service,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,iiot,service,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,rdfs,subclassof,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,owl,onproperty,iiot,hasserviceinterface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,owl,somevaluesfrom,iiot,serviceinterface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,owl,onproperty,ssn,implements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,owl,somevaluesfrom,sosa,procedure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,owl,onproperty,iiot,hasdescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,owl,onproperty,iiot,hasname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,rdfs,comment,provision,function,iot,ecosystem,note,service,procedure,understood,sosa,ontology,en,,,,,,,,,,,,,,,,,,,,
378,http,www,org,skos,core,example,webservice,en,,,,,,,,,,,,,,,,,,,,,,,,,
381,http,inter,iot,eu,goiotp,serviceinput,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,iiot,serviceinput,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,owl,onproperty,iiot,hasdataformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,owl,somevaluesfrom,iiot,dataformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,http,inter,iot,eu,goiotp,serviceinterface,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,iiot,serviceinterface,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,owl,onproperty,iiot,hasserviceinput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,owl,somevaluesfrom,iiot,serviceinput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,owl,onproperty,iiot,hasserviceoutput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,owl,somevaluesfrom,iiot,serviceoutput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,owl,onproperty,iiot,hasservicedefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,rdfs,comment,way,accessing,function,offered,service,en,,,,,,,,,,,,,,,,,,,,,,,,,
410,http,inter,iot,eu,goiotp,serviceoutput,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,iiot,serviceoutput,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,http,inter,iot,eu,goiotp,softwareplatform,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,iiot,softwareplatform,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,owl,onproperty,iiot,hascomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,owl,somevaluesfrom,iiot,platformcomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,http,inter,iot,eu,goiotp,user,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,iiot,user,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,rdfs,subclassof,sosa,featureofinterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,http,sweet,jpl,nasa,gov,reprsciunits,owl,unit,,,,,,,,,,,,,,,,,,,,,,,,,
433,sweet,units,unit,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,
436,http,www,opengis,net,ont,geosparql,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,
437,geosparql,geometry,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,rdfs,subclassof,geosparql,spatialobject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,http,www,opengis,net,ont,geosparql,spatialobject,,,,,,,,,,,,,,,,,,,,,,,,,,
442,geosparql,spatialobject,rdf,type,owl,class,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,class,spatial,object,represents,everything,have,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,spatial,representation,superclass,feature,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,rdfs,label,spatialobject,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,http,www,org,skos,core,preflabel,spatialobject,en,,,,,,,,,,,,,,,,,,,,,,,,,
464,http,www,org,ns,sosa,actuation,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,sosa,actuation,rdfs,subclassof,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,
466,owl,onproperty,iiot,orderedbyuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,owl,somevaluesfrom,iiot,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,owl,onproperty,iiot,haslocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,owl,allvaluesfrom,iiot,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,http,www,org,ns,sosa,observation,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,sosa,observation,rdfs,subclassof,rdf,type,owl,restriction,,,,,,,,,,,,,,,,,,,,,,,,,
485,owl,onproperty,sosa,phenomenontime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
